hostname,software
toot.norbipeti.eu,mastodon
friendica.deredvdienst.de,friendica
key.portend.place,sharkey
social.toyuzuko.dev,mastodon
four-nine.club,mastodon
pleroma.unigiri.net,pleroma
mastodon.transparentedge.eu,mastodon
tonibot.ddns.net,pleroma
lemmy.jonaharagon.net,lemmy
plantroon.com,friendica
pony.tube,peertube
delmenhorst.social,friendica
mastodon.clausgames.com,mastodon
qua.name,writefreely
mastodonserver.ipv64.net,mastodon
don.saba.run,mastodon
vod.newellijay.tv,peertube
mn.statyvka.org.ua,mastodon
spolu.bucek.eu,mastodon
social.insula.org.ua,gotosocial
social.tcpcat.net,mastodon
eggplant.social,mastodon
mastodon.techtriage.guru,mastodon
watch.nuked.social,peertube
19marbles.org,mastodon
mastodon.digspace.de,mastodon
b612.icu,mastodon
mas.wrong.tools,mastodon
s3lph.me,pelican-activitypub
msky-lab-01.arewesecureyet.org,misskey
neuropunks.org,mastodon
pleroma-lab.twixter.eu,pleroma
bookwyrm.world,bookwyrm
everything.happens.horse,mastodon
mastodon.wappler.systems,mastodon
fire.asta.lgbt,sharkey
ottawa.place,hometown
mastodon.horvath.com,mastodon
social.smallint.net,pleroma
cum.camp,pleroma
soc.utzer.de,pleroma
social.0ko.me,mastodon
mastodon.babb.no,mastodon
social.d2evs.net,gotosocial
mstdn.fujii-yuji.net,mastodon
fediverse.projectftm.com,misskey
blogofdrew.com,writefreely
mastodon.limulus.net,mastodon
hub.skogsnisse.net,friendica
hallihan.net,mastodon
friendsend.org,mastodon
arcanican.is,CodenameMerp
lemmy.belegost.net,lemmy
fatpikachu.com,gotosocial
mastodont.cat,mastodon
unapp.etizi.ng,postmarks
social.wildasoftware.pl,mastodon
fedi.velzie.rip,IceshrimpNET
mastobot.ping.moi,mastodon
misskey.stream,misskey
varjo.org,mastodon
bilge.world,writefreely
tube.kenfm.de,peertube
live.themewniverse.net,owncast
lemmy.pt,lemmy
social.domov.de,mastodon
social.perspective-daily.de,mastodon
git.steffo.dev,forgejo
peertube.martiabernathey.com,peertube
mastodon.eticadigital.eu,mastodon
excelsior.furytech.net,firefish
abraum.social,mastodon
tube.chaun14.fr,peertube
oxytodon.com,mastodon
social.tumelum.de,mastodon
tube.sadlads.com,peertube
social.subo.dev,friendica
sechack365-dev.claustra01.net,sechack365
pounced-on.me,mastodon
nitiasa.com,mastodon
greennet.social,mastodon
friendica.utzer.de,friendica
moe.social,mastodon
kramerc.social,mastodon
misskey.bootjp.me,misskey
tschopp.net,mastodon
ciql.net,akkoma
toot.foundation,mastodon
appsignal.social,mastodon
masto.queerscience.net,mastodon
berlin-berlin.de,writefreely
m.d3bu.net,misskey
sully.site,mastodon
rrgeorge.live,owncast
pub.ssig33.com,microblogpub
volksverpetzer.social,mastodon
myersjustinc.journalism.bot,writefreely
tamez.dev,writefreely
mistynotes.nl,writefreely
mastodon.starfyre.de,mastodon
video.ozgurkon.org,peertube
federated.avtobiografia.com,federated
msky.summersweet.jp,misskey
md.peg.osaka,mastodon
pl.comofas.org,akkoma
gotosocial.celeborn.de,gotosocial
weewee.social,mastodon
social.tasartir.cz,gotosocial
lemmy.spacestation14.com,lemmy
social.amauryjoly.fr,pleroma
fadrienn.irlnc.org,pleroma
social.diva.exchange,mastodon
rocketeer.be,gotosocial
press.everythingbagel.me,writefreely
ambercons.masto.host,mastodon
